H3A_sample_id,EPIC_sample_id
G007,G007
G009,G009
G012,G012
G017,G017
G018,G018
G020,G020
G021,G021
G022,G022
G024,G024
G026,G026
G027,G027
G029,G029
G036,G036
G037,G037
G038,G038
G039,G039
G040,G040
G042,G042
G045,G045
G047,G047
G048,G048
G049,G049
G051,G051
G052,G052
G053,G053
G054,G054
G056,G056
G057,G057
G058,G058
G062,G062
G063,G063
G064,G064
G067,G067
G068,G068
G069,G069
G070,G070
G073,G073
G074,G074
G075,G075
G077,G077
G078,G078
G079,G079
G081,G081
G082,G082
G086,G086
G091,G091
G092,G092
G093,G093
G095,G095
G098,G098
G102,G102
G103,G103
G105,G105
G106,G106
G107,G107
G108,G108
G112,G112
G114,G114
G115,G115
G118,G118
G119,G119
G120,G120
G121,G121
G122,G122
G123,G123
G124,G124
G126,G126
G128,G128
G130,G130
G131,G131
G132,G132
G133,G133
G134,G134
G135,G135
G136,G136
G137,G137
G138,G138
G140,G140
G141,G141
G142,G142
G144,G144
G145,G145
G148,G148
G149,G149
G150,G150
G151,G151
G152,G152
G154,G154
G159,G159
G160,G160
G162,G162
G163,G163
G164,G164
G167,G167
G172,G172
G174,G174
G176,G176
G178,G178
G179,G179
G181,G181
G182,G182
G183,G183
G185,G185
G186,G186
G187,G187
G188,G188
G190,G190
G196,G196
G197,G197
G198,G198
G203,G203
G204,G204
G206,G206
G207,G207
G208,G208
G209,G209
G212,G212
G215,G215
G216,G216
G219,G219
G221,G221
G223,G223
G226,G226
G227,G227
G228,G228
G231,G231
G232,G232
G233,G233
G234,G234
G236,G236
G238,G238
G241,G241
G242,G242
G244,G244
G245,G245
G247,G247
G249,G249
G250,G250
G251,G251
G252,G252
G253,G253
G254,G254
G257,G257
G258,G258
G259,G259
G262,G262
G263,G263
G265,G265
G274,G274
G275,G275
G276,G276
G277,G277
G278,G278
G279,G279
G280,G280
G281,G281
G282,G282
G284,G284
G285,G285
G286,G286
G287,G287
G288,G288
G289,G289
G290,G290
G291,G291
G293,G293
G297,G297
G298,G298
G299,G299
G300,G300
G301,G301
G302,G302
G303,G303
G304,G304
G306,G306
G307,G307
G310,G310
G311,G311
G313,G313
G318,G318
G332,G332
G333,G333
G334,G334
G340,G340
G341,G341
G342,G342
G343,G343
G345,G345
G357,G357
G358,G358
G359,G359
G360,G360
G364,G364
G365,G365
G366,G366
G369,G369
G372,G372
G373,G373
G374,G374
G376,G376
G378,G378
G380,G380
G381,G381
G383,G383
G384,G384
G387,G387
G388,G388
G389,G389
G390,G390
G391,G391
G393,G393
G395,G395
G397,G397
G398,G398
G399,G399
G401,G401
G402,G402
G403,G403
G406,G406
G407,G407
G412,G412
G413,G413
G414,G414
G415,G415
G416,G416
G418,G418
G419,G419
G420,G420
G421,G421
G422,G422
G425,G425
G426,G426
G428,G428
G429,G429
G430,G430
G431,G431
G432,G432
G433,G433
G436,G436
G437,G437
G442,G442
G443,G443
G444,G444
G446,G446
G449,G449
G453,G453
G454,G454
G455,G455
G456,G456
G457,G457
G461,G461
G466,G466
G469,G469
G473,G473
G478,G478
G481,G481
G482,G482
G487,G487
G490,G490
G492,G492
P122,P122
P123,P123
P124,P124
P126,P126
P128,P128
P129,P129
P130,P130
P131,P131
P132,P132
P134,P134
P136,P136
P137,P137
P138,P138
P140,P140
P141,P141
P143,P143
P151,P151
P153,P153
P155,P155
P157,P157
P158,P158
P162,P162
P163,P163
P166,P166
P168,P168
P170,P170
P171,P171
P172,P172
P174,P174
P176,P176
P179,P179
P180,P180
P181,P181
P182,P182
P183,P183
P184,P184
P185,P185
P187,P187
P188,P188
P190,P190
P193,P193
P194,P194
P195,P195
P197,P197
P201,P201
P207,P207
P208,P208
P210,P210
P212,P212
P213,P213
P215,P215
P222,P222
P223,P223
P225,P225
P226,P226
P228,P228
P230,P230
P231,P231
P232,P232
P233,P233
P236,P236
P239,P239
P240,P240
P241,P241
P243,P243
P247,P247
P249,P249
P250,P250
P251,P251
P254,P254
P255,P255
P275,P275
P276,P276
P277,P277
P278,P278
P280,P280
P283,P283
P287,P287
P289,P289
P293,P293
P297,P297
P298,P298
P299,P299
P304,P304
P308,P308
P311,P311
P312,P312
P314,P314
P315,P315
P316,P316
P318,P318
P319,P319
P320,P320
P322,P322
P325,P325
P326,P326
P329,P329
P331,P331
P332,P332
P334,P334
P335,P335
P336,P336
P337,P337
P338,P338
P342,P342
P344,P344
P345,P345
P347,P347
P348,P348
P349,P349
P364,P364
P365,P365
P366,P366
P369,P369
P370,P370
P373,P373
P376,P376
P377,P377
