Sample ID,BeadChip Barcode,Sentrix Position,Plate Number,Well Position,Collected Gender
G001,208789590164,R01C01,Plate_01,A01,Unknown
G003,208789590164,R02C01,Plate_01,B01,Unknown
G004,208789590164,R03C01,Plate_01,C01,Unknown
G007,208789590164,R04C01,Plate_01,D01,Unknown
G009,208789590164,R05C01,Plate_01,E01,Unknown
G012,208789590164,R06C01,Plate_01,F01,Unknown
G017,208789590164,R07C01,Plate_01,G01,Unknown
G018,208789590164,R08C01,Plate_01,H01,Unknown
G020,208789590051,R01C01,Plate_01,A02,Unknown
G021,208789590051,R02C01,Plate_01,B02,Unknown
G022,208789590051,R03C01,Plate_01,C02,Unknown
G024,208789590051,R04C01,Plate_01,D02,Unknown
G026,208789590051,R05C01,Plate_01,E02,Unknown
G027,208789590051,R06C01,Plate_01,F02,Unknown
G029,208789590051,R07C01,Plate_01,G02,Unknown
G031,208789590051,R08C01,Plate_01,H02,Unknown
G036,208789590077,R01C01,Plate_01,A03,Unknown
G037,208789590077,R02C01,Plate_01,B03,Unknown
G038,208789590077,R03C01,Plate_01,C03,Unknown
G039,208789590077,R04C01,Plate_01,D03,Unknown
G040,208789590077,R05C01,Plate_01,E03,Unknown
G042,208789590077,R06C01,Plate_01,F03,Unknown
G045,208789590077,R07C01,Plate_01,G03,Unknown
G047,208789590077,R08C01,Plate_01,H03,Unknown
G058,208790450007,R01C01,Plate_01,A05,Unknown
G062,208790450007,R02C01,Plate_01,B05,Unknown
G063,208790450007,R03C01,Plate_01,C05,Unknown
G064,208790450007,R04C01,Plate_01,D05,Unknown
G065,208790450007,R05C01,Plate_01,E05,Unknown
G066,208790450007,R06C01,Plate_01,F05,Unknown
G067,208790450007,R07C01,Plate_01,G05,Unknown
G068,208790450007,R08C01,Plate_01,H05,Unknown
G069,208790450001,R01C01,Plate_01,A06,Unknown
G070,208790450001,R02C01,Plate_01,B06,Unknown
G189,208790450001,R03C01,Plate_01,C06,Unknown
G073,208790450001,R04C01,Plate_01,D06,Unknown
G074,208790450001,R05C01,Plate_01,E06,Unknown
G075,208790450001,R06C01,Plate_01,F06,Unknown
G077,208790450001,R07C01,Plate_01,G06,Unknown
G078,208790450001,R08C01,Plate_01,H06,Unknown
G079,208790450003,R01C01,Plate_01,A07,Unknown
G081,208790450003,R02C01,Plate_01,B07,Unknown
G082,208790450003,R03C01,Plate_01,C07,Unknown
G086,208790450003,R04C01,Plate_01,D07,Unknown
G091,208790450003,R05C01,Plate_01,E07,Unknown
G092,208790450003,R06C01,Plate_01,F07,Unknown
G093,208790450003,R07C01,Plate_01,G07,Unknown
G095,208790450003,R08C01,Plate_01,H07,Unknown
G098,208789590142,R01C01,Plate_01,A08,Unknown
G102,208789590142,R02C01,Plate_01,B08,Unknown
G103,208789590142,R03C01,Plate_01,C08,Unknown
G105,208789590142,R04C01,Plate_01,D08,Unknown
G106,208789590142,R05C01,Plate_01,E08,Unknown
G107,208789590142,R06C01,Plate_01,F08,Unknown
G108,208789590142,R07C01,Plate_01,G08,Unknown
G112,208789590142,R08C01,Plate_01,H08,Unknown
G114,208788870116,R01C01,Plate_01,A09,Unknown
